단어,positive,negative,그룹
아무,1,2,KT Skylife
나솔,0,2,KT Skylife
워드,0,2,KT Skylife
엠포인트도,0,2,KT Skylife
갑자기,1,0,KT Skylife
요청,12,2,KT Skylife
스마트카드,1,0,KT Skylife
일시,5,0,KT Skylife
국번,3,0,KT Skylife
틀리다,3,0,KT Skylife
애초,6,0,KT Skylife
신기,2,0,KT Skylife
들어가다,20,18,KT Skylife
잠보,1,0,KT Skylife
내용,3,0,KT Skylife
누르다,9,2,KT Skylife
그래서,7,2,KT Skylife
제품,2,0,KT Skylife
늘어나다,1,0,KT Skylife
너무,9,4,KT Skylife
느리다,13,2,KT Skylife
시기,3,0,KT Skylife
일정,1,0,KT Skylife
잡히다,7,2,KT Skylife
통하다,4,2,KT Skylife
최대한,1,0,KT Skylife
빨리,6,0,KT Skylife
도착,4,0,KT Skylife
시간,9,0,KT Skylife
같이,2,0,KT Skylife
비대칭,1,0,KT Skylife
기대,2,0,KT Skylife
프오젝터로,1,0,KT Skylife
야구,1,0,KT Skylife
시즌,1,0,KT Skylife
위하다,2,0,KT Skylife
나쁘다,3,0,KT Skylife
모나,4,0,KT Skylife
식구,2,0,KT Skylife
주민,0,2,KT Skylife
찝찝해서업체에서,0,1,KT Skylife
찝찝해서,0,1,KT Skylife
신분증,2,0,KT Skylife
지원금,11,0,KT Skylife
여기다,6,0,KT Skylife
싸나이쭌쪽지,1,0,KT Skylife
태트안녕하세요저도,1,0,KT Skylife
무료,3,4,KT Skylife
지니,1,0,KT Skylife
재작년,1,0,KT Skylife
만료,2,0,KT Skylife
엘지,7,2,KT Skylife
라나,3,0,KT Skylife
한데,1,0,KT Skylife
물론,3,0,KT Skylife
내려가다,1,0,KT Skylife
하네,3,3,KT Skylife
금제,2,0,KT Skylife
가야,1,0,KT Skylife
사장,1,0,KT Skylife
서요,4,0,KT Skylife
그럼,2,0,KT Skylife
가면,2,0,KT Skylife
안나,4,0,KT Skylife
올텐,2,0,KT Skylife
결함,2,0,KT Skylife
빼에에엑쭉,1,0,KT Skylife
케이티,4,0,KT Skylife
차라리,2,0,KT Skylife
상품권,4,0,KT Skylife
더 쇼,2,0,KT Skylife
부치,2,0,KT Skylife
쇼부,2,0,KT Skylife
들먹이다,2,0,KT Skylife
오케이,2,0,KT Skylife
빼에에엑다시전화하셔서,0,1,KT Skylife
지인,0,2,KT Skylife
보세,0,2,KT Skylife
고민,4,0,KT Skylife
예약,1,0,KT Skylife
정확,3,0,KT Skylife
벽면,1,0,KT Skylife
정리,5,4,KT Skylife
성능,2,0,KT Skylife
유튜브,6,0,KT Skylife
넷플릭스,3,0,KT Skylife
감상,1,0,KT Skylife
전혀,5,0,KT Skylife
문제없다,2,0,KT Skylife
일상,1,0,KT Skylife
충분,2,0,KT Skylife
무엇,1,0,KT Skylife
만큼,1,0,KT Skylife
대칭,1,0,KT Skylife
제공,4,0,KT Skylife
최고,8,0,KT Skylife
또한,1,0,KT Skylife
거주,1,0,KT Skylife
편리,7,0,KT Skylife
뛰어나다,1,0,KT Skylife
가정,1,0,KT Skylife
모두,7,4,KT Skylife
마음,5,0,KT Skylife
만약,1,0,KT Skylife
케이블,2,0,KT Skylife
비슷,4,2,KT Skylife
신건,2,0,KT Skylife
드릴,0,1,KT Skylife
우우우우웅웅정보,0,2,KT Skylife
앗쒸약정,1,0,KT Skylife
소년,1,0,KT Skylife
주말,9,0,KT Skylife
부부,4,0,KT Skylife
모니,2,0,KT Skylife
전화번호,7,0,KT Skylife
안되는데앱이나,1,0,KT Skylife
접속,3,0,KT Skylife
뒷자리,2,2,KT Skylife
자리,1,1,KT Skylife
안녕,0,1,KT Skylife
유료,0,2,KT Skylife
의미,4,2,KT Skylife
개인정보,4,2,KT Skylife
엑셀,2,0,KT Skylife
유심,23,0,KT Skylife
이체,4,0,KT Skylife
갈매기,3,0,KT Skylife
두잇두잇츄,1,0,KT Skylife
조회,4,10,KT Skylife
카오,0,1,KT Skylife
뱅크,0,2,KT Skylife
도용,0,2,KT Skylife
방지,0,2,KT Skylife
이퍼,0,2,KT Skylife
공인인증서,0,2,KT Skylife
필요,6,4,KT Skylife
카카오,12,1,KT Skylife
전액,9,8,KT Skylife
여러분,1,0,KT Skylife
오류,5,0,KT Skylife
요호비칫걍,1,0,KT Skylife
포기,3,0,KT Skylife
어후걍,1,0,KT Skylife
당분간,3,0,KT Skylife
정답,4,0,KT Skylife
당하다,6,0,KT Skylife
토마토,1,0,KT Skylife
고센,8,0,KT Skylife
비전,2,0,KT Skylife
이사,4,0,KT Skylife
상대,1,0,KT Skylife
요망,1,0,KT Skylife
음성,3,0,KT Skylife
인식,1,0,KT Skylife
상환,1,0,KT Skylife
포우,0,1,KT Skylife
라리,2,0,KT Skylife
로저,1,0,KT Skylife
탐탬스저도,1,0,KT Skylife
사무실,1,0,KT Skylife
초반,1,0,KT Skylife
최저,1,0,KT Skylife
어차피,1,2,KT Skylife
결합도,2,0,KT Skylife
박은,1,0,KT Skylife
가시다,2,0,KT Skylife
소리,7,3,KT Skylife
고고,1,0,KT Skylife
니드,2,0,KT Skylife
한두,1,0,KT Skylife
일수,1,0,KT Skylife
리브엠도,1,0,KT Skylife
보통,4,2,KT Skylife
전날,1,0,KT Skylife
완납,4,4,KT Skylife
리브엠,3,0,KT Skylife
헤랑이스라는,0,1,KT Skylife
경산,1,0,KT Skylife
토박이,1,0,KT Skylife
다스,2,0,KT Skylife
스라는,4,1,KT Skylife
뽐트스라는,0,1,KT Skylife
지로,4,2,KT Skylife
납기,4,2,KT Skylife
당연,2,0,KT Skylife
소액사용하고리브엠,1,0,KT Skylife
제때,2,0,KT Skylife
차스,3,0,KT Skylife
별도,4,0,KT Skylife
상가,1,0,KT Skylife
이정,3,0,KT Skylife
도면,3,0,KT Skylife
질도,1,0,KT Skylife
준수,1,0,KT Skylife
가정집,1,0,KT Skylife
주시,2,0,KT Skylife
정착,1,0,KT Skylife
장점,1,0,KT Skylife
만들다,4,4,KT Skylife
원도,1,0,KT Skylife
조건괞찬은건가요,1,0,KT Skylife
스카,8,0,KT Skylife
모비,7,2,KT Skylife
괜히,2,4,KT Skylife
꼬이다,6,0,KT Skylife
룰렛,1,0,KT Skylife
돌리다,3,0,KT Skylife
하필,1,0,KT Skylife
구하다,1,0,KT Skylife
유모,5,2,KT Skylife
저번,1,0,KT Skylife
수수료,7,0,KT Skylife
왕창,1,0,KT Skylife
데번,1,0,KT Skylife
땡기다,3,0,KT Skylife
정산,1,2,KT Skylife
가산금,10,4,KT Skylife
가와,1,0,KT Skylife
진짜,9,4,KT Skylife
눈뜨다,1,0,KT Skylife
베이,1,0,KT Skylife
기분,3,0,KT Skylife
겨우,1,0,KT Skylife
부과,3,0,KT Skylife
이동한,3,0,KT Skylife
고스,1,0,KT Skylife
열부,1,0,KT Skylife
벌어지다,2,0,KT Skylife
가급적,2,0,KT Skylife
즈음,2,0,KT Skylife
계획,2,0,KT Skylife
